node	isRegulator	AnimalTFDB	RegNetwork
TXNL4B	-	-	-
SNRPD2	-	-	-
SART1	-	-	-
LSM6	-	-	-
PRPF4	-	-	-
TXNL4A	-	-	-
SNRPA1	-	-	-
SMG5	-	-	-
SMG1	-	-	-
RBM8A	-	-	-
RNPS1	+	-	+
CCT3	-	-	-
CAD	-	-	-
ACACA	-	-	-
ACACB	-	-	-
CCT2	-	-	-
BBS10	-	-	-
CABIN1	-	-	-
MAPK13	+	-	+
HDAC4	+	CRF	+
HDAC6	+	CRF	-
CAMK4	-	-	-
MAPK7	-	-	-
MAPK12	+	-	+
HDAC9	+	-	+
KDM1A	+	CRF	-
PDK1	-	-	-
PIWIL1	-	-	-
PDPK1	-	-	-
KPNB1	-	-	-
KPNA1	-	-	-
EXOSC10	-	-	-
KPNA3	-	-	-
KPNA4	-	-	-
1700009N14RIK	-	-	-
IPO5	-	-	-
IPO4	-	-	-
KPNA6	-	-	-
KPNA7	-	-	-
KPNA2	-	-	-
NPEPPS	-	-	-
GSC	+	TF	+
RUNX1	+	TF	+
IFNG	+	-	+
TBX21	+	TF	+
GATA3	+	TF	+
MRPL10	-	-	-
ICT1	-	-	-
CYP51	-	-	-
0610007P14RIK	-	-	-
CH25H	-	-	-
AGMO	-	-	-
TBCB	-	-	-
DYNC1H1	-	-	-
TUBB6	-	-	-
TUBAL3	-	-	-
CCT5	-	-	-
PFDN1	-	-	-
ARL2	-	-	-
CCT6A	-	-	-
CCT7	-	-	-
TUBA8	-	-	-
TBCA	-	-	-
DYNC2H1	-	-	-
TBCE	-	-	-
TUBA1C	-	-	-
TUBB2A	-	-	-
PFDN4	-	-	-
TUBB2B	-	-	-
TUBA1B	-	-	-
TBCD	-	-	-
TCP1	-	-	-
PFDN2	-	-	-
PFDN5	+	TcF	-
CCT4	-	-	-
AFG3L1	-	-	-
SOST	-	-	-
LRP5	-	-	-
NKX2-1	+	TF	+
FOXA1	+	TF	+
GATA4	+	TF	+
OSR2	+	TF	-
KDM5B	+	TF	+
MSX1	+	TF	+
BMP1	-	-	-
COL14A1	-	-	-
TBC1D5	-	-	-
GTF2F1	+	TcF	+
CDK9	+	TcF	-
CCNT1	+	TcF	-
GTF2H4	+	-	+
CCNH	+	TcF	-
GTF2E1	+	-	+
ERCC3	+	TcF	+
CCNT2	-	-	-
GTF2B	+	-	+
GTF2H3	+	-	+
ERCC8	+	-	+
GTF2H2	+	-	+
CDK7	+	TcF	-
GTF2E2	+	-	+
RAB8A	-	-	-
CSNK1D	-	-	-
PAFAH1B1	-	-	-
MAPRE1	-	-	-
AURKA	-	-	-
CEP72	-	-	-
ACTR1A	-	-	-
CLASP1	-	-	-
CENPJ	-	-	-
SFI1	-	-	-
CEP70	-	-	-
NINL	-	-	-
DCTN1	-	-	-
CSNK1E	-	-	-
CEP290	-	-	-
FLOT1	-	-	-
EAF1	-	-	-
DVL3	-	-	-
DVL2	-	-	-
APC2	-	-	-
JUP	+	TcF	+
GSK3B	-	-	-
CDH2	-	-	-
CDH9	-	-	-
CDH7	-	-	-
CDH17	-	-	-
CTNNBIP1	+	-	+
CDH5	-	-	-
CDH15	-	-	-
CDH6	-	-	-
CDH10	-	-	-
DSC1	-	-	-
DSC2	-	-	-
CTNNA1	-	-	-
AXIN2	-	-	-
ERBB2	+	TcF	-
DSG2	-	-	-
CTNND1	-	-	-
CDH24	-	-	-
GSK3A	-	-	-
AXIN1	-	-	-
CTNNA3	-	-	-
CDH12	-	-	-
APC	+	-	+
CDH3	-	-	-
ERBB3	-	-	-
INSR	+	TcF	-
FYN	-	-	-
CDH13	-	-	-
ERBB4	+	TcF	-
CDH8	-	-	-
CTNNA2	-	-	-
CUL3	-	-	-
CIRH1A	-	-	-
CYFIP1	-	-	-
DICER1	-	-	-
CYFIP2	-	-	-
ACAP1	-	-	-
AVPR1A	-	-	-
ADRBK1	-	-	-
AVPR1B	-	-	-
ADRA1A	-	-	-
AGTR1B	-	-	-
ADRA1B	-	-	-
AGTR1A	-	-	-
ADRA1D	-	-	-
COPS5	+	TcF	+
IFRD1	-	-	-
MOB1B	-	-	-
CAB39L	-	-	-
MOB1A	-	-	-
STK38L	-	-	-
MOB2	-	-	-
FRY	-	-	-
FRYL	-	-	-
CAB39	-	-	-
GAS7	-	-	-
HOXC6	+	TF	+
2310045N01RIK	-	-	-
GSTM5	-	-	-
GSTM3	-	-	-
GSTM1	-	-	-
GSTT1	-	-	-
GSTM2	-	-	-
CYP1B1	-	-	-
GSTO1	-	-	-
CYP2E1	-	-	-
GSTA3	-	-	-
GSTM4	-	-	-
CYP1A2	-	-	-
CYP1A1	-	-	-
GSTA2	-	-	-
GSTA4	-	-	-
EPHX1	-	-	-
GSTO2	-	-	-
GSS	-	-	-
GSTM6	-	-	-
GSTT3	-	-	-
PAH	-	-	-
HPD	-	-	-
DDX18	-	-	-
AATF	+	TcF	+
BRIX1	-	-	-
BOP1	-	-	-
CEBPZ	+	-	+
BMS1	-	-	-
D19BWG1357E	-	-	-
EEF1E1	-	-	-
AIMP1	-	-	-
ACIN1	-	-	-
ATP6V1F	-	-	-
ATP6V1B1	-	-	-
ATP6V1B2	-	-	-
ATP6V0D1	-	-	-
ATP6V0E	-	-	-
ATP6V1E1	-	-	-
ATP6V1C2	-	-	-
ATP6V1D	-	-	-
ATP6V1C1	-	-	-
ATP6V0C	-	-	-
ATP6V1G3	-	-	-
ATP6V0D2	-	-	-
ATP6V1H	-	-	-
ATP6V0E2	-	-	-
ATP6V0B	-	-	-
ATP6V1G1	-	-	-
ATP6V1E2	-	-	-
SLC30A5	-	-	-
ATP6V1A	-	-	-
ATP6V1G2	-	-	-
HGSNAT	-	-	-
COASY	-	-	-
PABPC1	-	-	-
NXF1	-	-	-
CNOT8	+	-	+
NCBP2	-	-	-
EIF4E	-	-	-
NCBP1	-	-	-
NXF7	-	-	-
CNOT7	+	-	+
LSM1	-	-	-
EIF4G1	-	-	-
ATXN2	-	-	-
GSPT1	-	-	-
EIF4G3	-	-	-
EIF4E1B	-	-	-
GSPT2	-	-	-
EIF4A1	-	-	-
EIF4B	-	-	-
HNRNPD	+	TcF	+
PTCH1	-	-	-
DHH	-	-	-
GLI1	+	TF	+
PTCH2	-	-	-
GLI2	+	TF	+
SMO	-	-	-
RAB23	-	-	-
GLI3	+	TF	+
IHH	-	-	-
CRNKL1	-	-	-
CCDC12	-	-	-
CDC5L	+	TF	+
ASCC3	-	-	-
CDC40	-	-	-
CCDC94	-	-	-
BUD31	-	-	-
FOLH1	-	-	-
CHORDC1	-	-	-
PES1	-	-	-
GNL3L	-	-	-
PA2G4	+	TcF	+
EBNA1BP2	-	-	-
MRTO4	-	-	-
DKC1	-	-	-
PWP1	+	-	+
MYBBP1A	+	TcF	+
GNL3	-	-	-
PDCD11	+	-	+
GRWD1	-	-	-
CAPN2	-	-	-
SLC3A1	-	-	-
HAND2	+	TF	+
HOXD13	+	TF	+
CLPB	-	-	-
ANKRD45	-	-	-
CMA1	-	-	-
CPA3	-	-	-
LTBP1	-	-	-
TOLLIP	-	-	-
IRAK3	-	-	-
IL1R1	-	-	-
IL1B	-	-	-
IL1A	-	-	-
TLR2	-	-	-
IRAK2	-	-	-
IRAK4	-	-	-
IL1RAP	-	-	-
ACE	-	-	-
KCNC4	-	-	-
KCNH6	-	-	-
KCND1	-	-	-
KCNAB3	-	-	-
KCNA6	-	-	-
KCNA4	-	-	-
KCNA2	-	-	-
KCNAB1	-	-	-
KCNA3	-	-	-
KCNG3	-	-	-
KCNA1	-	-	-
KCNA5	-	-	-
KCNG4	-	-	-
KCNB1	-	-	-
KCNG2	-	-	-
KCND3	-	-	-
KCND2	-	-	-
KCNA10	-	-	-
KCNC2	-	-	-
KCNG1	-	-	-
KCNAB2	-	-	-
KCNA7	-	-	-
KCNC3	-	-	-
KCNC1	-	-	-
KCNB2	-	-	-
KCNF1	-	-	-
TRMT1	-	-	-
THUMPD1	-	-	-
NACC1	-	-	-
GARS	-	-	-
UBA1	-	-	-
CDC34	-	-	-
AARS	-	-	-
ITGB3	-	-	-
F2	-	-	-
F8	-	-	-
SERPINE1	-	-	-
F5	-	-	-
VEGFA	-	-	-
TAPBPL	-	-	-
G6PDX	-	-	-
